Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,78.37,78.06,77.76,77.46,77.15,76.85,76.55,76.24,75.94,75.64,75.33,75.03,74.72,74.42,74.12,73.81,73.47,73.13,72.79,72.45,72.11,72.11,72.11,72.11,72.11,72.11
Indonesia,65.44,64.38,63.33,62.27,61.21,60.16,59.1,58.04,56.99,55.93,54.87,54.7,54.53,54.36,54.19,54.02,53.64,53.26,52.88,52.51,52.13,51.75,51.37,50.99,50.62,50.24
Cambodia,73.33,72.54,71.74,70.95,70.16,69.37,68.58,67.78,66.99,66.2,65.41,64.49,63.56,62.64,61.72,60.79,60.07,59.35,58.63,57.91,57.18,56.46,55.74,55.02,54.3,53.57
Lao PDR,76.45,75.97,75.48,75,74.51,74.03,73.54,73.06,72.57,72.09,71.6,71.9,72.2,72.5,72.79,73.09,73.91,74.73,75.55,76.37,77.19,78.01,78.83,79.65,80.47,81.29
Myanmar,60.01,59.34,58.68,58.01,57.35,56.68,56.01,55.35,54.68,54.02,53.35,52.88,52.41,51.93,51.47,51,50.52,50.04,49.58,49.11,48.64,47.8,46.97,46.14,45.3,44.47
Malaysia,68.11,67.87,67.63,67.39,67.15,66.91,66.67,66.43,66.19,65.95,65.72,65.29,64.86,64.44,64.01,63.58,64.33,65.08,65.84,66.59,67.34,67.38,67.42,67.47,67.51,67.55
Philippines,21.98,22.14,22.3,22.46,22.62,22.78,22.93,23.09,23.25,23.41,23.57,23.6,23.63,23.66,23.69,23.72,23.57,23.41,23.25,23.1,22.94,23.74,24.55,25.35,26.16,26.96
Singapore,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.22,23.8,23.73,23.73,23.56,23.53,23.36,23.36,23.29,23.22,23.16,23.13,23.06,23.06
Thailand,27.41,28,28.59,29.18,29.77,30.35,30.94,31.53,32.12,32.71,33.3,32.94,32.58,32.23,31.87,31.51,31.57,31.63,31.69,31.75,31.81,31.86,31.92,31.98,32.04,32.1
Vietnam,28.77,29.49,30.22,30.94,31.67,32.4,33.12,33.85,34.58,35.3,37.7,38.56,39.5,40.43,41.3,42.17,42.85,43.53,44.21,44.89,45.56,45.98,46.4,46.81,47.23,47.64
